,Absences,GPA,Activity,age,education,occupation,sex,income
0,14.0,2.0542181397029484,Extracurricular,39.0,Bachelors,Adm-clerical,Male,<=50K
1,0.0,3.0841836144863937,Extracurricular,50.0,Bachelors,Exec-managerial,Male,<=50K
2,22.0,1.360142712316461,Extracurricular,38.0,HS-grad,Handlers-cleaners,Male,<=50K
3,0.0,3.5734742103297656,Extracurricular,53.0,11th,Handlers-cleaners,Male,<=50K
4,21.0,1.520077814874808,Extracurricular,28.0,Bachelors,Prof-specialty,Female,<=50K
5,14.0,2.232175277715976,Extracurricular,37.0,Masters,Exec-managerial,Female,<=50K
6,29.0,0.4695533233798704,Extracurricular,49.0,9th,Other-service,Female,<=50K
7,25.0,0.3468940367050148,Extracurricular,52.0,HS-grad,Exec-managerial,Male,>50K
8,20.0,1.7701318767799732,Extracurricular,31.0,Masters,Prof-specialty,Female,>50K
9,10.0,2.854803928981318,Extracurricular,42.0,Bachelors,Exec-managerial,Male,>50K
10,20.0,1.519441725815139,Extracurricular,37.0,Some-college,Exec-managerial,Male,>50K
11,21.0,0.94940609779728,Extracurricular,30.0,Bachelors,Prof-specialty,Male,>50K
12,27.0,1.1409594184203395,Extracurricular,23.0,Bachelors,Adm-clerical,Female,<=50K
13,3.0,3.0189058584279675,Extracurricular,32.0,Assoc-acdm,Sales,Male,<=50K
14,21.0,1.5268678317927231,Extracurricular,40.0,Assoc-voc,Craft-repair,Male,>50K
15,1.0,4.0,Extracurricular,34.0,7th-8th,Transport-moving,Male,<=50K
16,5.0,2.5637654300150947,Extracurricular,25.0,HS-grad,Farming-fishing,Male,<=50K
17,16.0,2.4610469629080955,Extracurricular,32.0,HS-grad,Machine-op-inspct,Male,<=50K
18,12.0,1.9863780592187463,Extracurricular,38.0,11th,Sales,Male,<=50K
19,29.0,0.7562591665741925,Extracurricular,43.0,Masters,Exec-managerial,Female,>50K
20,29.0,0.2865712882866222,Extracurricular,40.0,Doctorate,Prof-specialty,Male,>50K
21,10.0,1.892758695926592,Extracurricular,54.0,HS-grad,Other-service,Female,<=50K
22,6.0,3.2618553073332905,Extracurricular,35.0,9th,Farming-fishing,Male,<=50K
23,6.0,2.937454182316864,Extracurricular,43.0,11th,Transport-moving,Male,<=50K
24,8.0,2.556801662833417,Extracurricular,59.0,HS-grad,Tech-support,Female,<=50K
25,14.0,2.200682946560561,Extracurricular,56.0,Bachelors,Tech-support,Male,>50K
26,18.0,2.1317372971872284,Extracurricular,19.0,HS-grad,Craft-repair,Male,<=50K
27,7.0,2.532438417587673,Extracurricular,,,,,
28,12.0,2.342836773191855,Extracurricular,39.0,HS-grad,Exec-managerial,Male,<=50K
29,20.0,1.5237487447337323,Extracurricular,49.0,HS-grad,Craft-repair,Male,<=50K
30,22.0,1.0586220144439875,Extracurricular,23.0,Assoc-acdm,Protective-serv,Male,<=50K
31,0.0,3.5069200713692137,Extracurricular,20.0,Some-college,Sales,Male,<=50K
32,4.0,2.7084723438568763,Extracurricular,45.0,Bachelors,Exec-managerial,Male,<=50K
33,25.0,0.7443222999212357,Extracurricular,30.0,Some-college,Adm-clerical,Male,<=50K
34,23.0,1.2712295298373406,Extracurricular,22.0,Some-college,Other-service,Male,<=50K
35,6.0,2.52614214142023,Extracurricular,48.0,11th,Machine-op-inspct,Male,<=50K
36,27.0,0.9424153953595232,Extracurricular,21.0,Some-college,Machine-op-inspct,Male,<=50K
37,29.0,0.6482739267081915,Extracurricular,19.0,HS-grad,Adm-clerical,Female,<=50K
38,18.0,0.8422959992571388,Extracurricular,31.0,Some-college,Sales,Male,>50K
39,24.0,1.487946865169799,Extracurricular,48.0,Assoc-acdm,Prof-specialty,Male,<=50K
40,21.0,1.340368647512407,Extracurricular,31.0,9th,Machine-op-inspct,Male,<=50K
41,3.0,3.619460869693516,Extracurricular,53.0,Bachelors,Prof-specialty,Male,<=50K
42,12.0,2.17490279620988,Extracurricular,24.0,Bachelors,Tech-support,Male,<=50K
43,1.0,3.4982573417733205,Extracurricular,49.0,HS-grad,Adm-clerical,Female,<=50K
44,14.0,2.590553445052984,Extracurricular,25.0,HS-grad,Handlers-cleaners,Male,<=50K
45,1.0,3.5350037581843186,Extracurricular,57.0,Bachelors,Prof-specialty,Male,>50K
46,12.0,2.0165967745176614,Extracurricular,53.0,HS-grad,Machine-op-inspct,Male,<=50K
47,2.0,2.4265467060392454,Extracurricular,44.0,Masters,Exec-managerial,Female,<=50K
48,5.0,3.161436270258364,Extracurricular,41.0,Assoc-voc,Craft-repair,Male,<=50K
49,12.0,2.122638529628868,Extracurricular,29.0,Assoc-voc,Prof-specialty,Male,<=50K
50,18.0,1.182987500498048,Extracurricular,25.0,Some-college,Exec-managerial,Female,<=50K
51,7.0,2.7387957163436,Extracurricular,18.0,HS-grad,Other-service,Female,<=50K
52,2.0,3.139481546380388,Extracurricular,47.0,Prof-school,Prof-specialty,Female,>50K
53,23.0,1.0460447710800969,Extracurricular,50.0,Bachelors,Exec-managerial,Male,>50K
54,16.0,2.03354462052118,Extracurricular,47.0,HS-grad,Exec-managerial,Male,<=50K
55,7.0,2.432078522782237,Extracurricular,43.0,Some-college,Tech-support,Male,>50K
56,9.0,2.6597713195279016,Extracurricular,46.0,5th-6th,Machine-op-inspct,Male,<=50K
57,1.0,3.588887939765012,Extracurricular,35.0,Assoc-voc,Other-service,Male,<=50K
58,22.0,1.00722582021403,Extracurricular,41.0,HS-grad,Adm-clerical,Male,<=50K
59,5.0,2.8816123214605245,Extracurricular,30.0,HS-grad,Machine-op-inspct,Male,<=50K
60,22.0,1.11991126295732,Extracurricular,30.0,Bachelors,Sales,Male,<=50K
61,2.0,3.0756193536614336,Extracurricular,,,,,
62,16.0,2.631434065124418,Extracurricular,48.0,HS-grad,Transport-moving,Male,<=50K
